,rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,luxurious,temporary,furnished,area_cat_ecoded,zurich_city,dist_to_center,accessibility_score,estimated_noise_level,family_friendly_score,price
count,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0,804.0
mean,3.3762437810945274,86.9776119402985,38336.82960199005,2715.538392343675,28.550976536159084,176208.5447761194,81667.15422885572,26.087736318407963,0.006218905472636816,0.01990049751243781,0.018656716417910446,1.4241293532338308,0.3246268656716418,11.390631093453221,3.9509994926316643,3.964838436988453,4.956882803103246,2573.313432835821
std,1.274051917776184,38.515375090020065,45693.62263027552,2225.5314715534782,7.61209976984246,222647.2650456951,14498.71784475485,9.152021238628286,0.07866337848146417,0.1397453298332826,0.13539366179206352,0.7218109667117386,0.46852672839184,7.955500081669791,2.0694095776387713,1.671412287420038,0.756556447762355,1075.2701262251896
min,1.0,10.0,789.0,87.9598662207,7.5471698113,129.0,65147.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2333619387709918,0.3794583225900766,1.3709726923877616,1.796549799844833,750.0
25%,2.5,63.0,10096.0,1200.5862646566,24.535003932,5035.75,71575.0,22.0,0.0,0.0,0.0,1.0,0.0,4.395148205123078,2.411894089440456,2.730626579541911,4.490905574512956,1830.0
50%,3.5,83.5,24990.0,1662.5973262818,28.8658429348,19226.0,80977.0,24.67,0.0,0.0,0.0,2.0,0.0,9.84652217609273,3.1165137767307947,3.7256145575072885,4.930500176923263,2370.0
75%,4.5,105.0,41411.0,3759.2128801431,32.4584678868,491193.0,85446.0,28.0,0.0,0.0,0.0,2.0,1.0,18.305871452437565,5.350094021216444,4.632384656147041,5.416837694181388,3000.0
max,7.5,282.0,420217.0,10008.0,46.2264830967,491193.0,193412.0,163.0,1.0,1.0,1.0,2.0,1.0,36.03269759334741,9.951448764437245,10.0,7.545186034516927,7900.0
